,Name,Country Code,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
0,mahebourg,mu,-20.41,57.7,69.19,94,20,5.82
1,geraldton,au,-28.77,114.6,68,72,90,9.17
2,taltal,cl,-25.41,-70.49,55,88,64,2.98
3,hermanus,za,-34.42,19.24,64,85,82,11.99
4,saskylakh,ru,71.97,114.09,0.43,97,100,5.48
5,ushuaia,ar,-54.81,-68.31,44.6,52,40,1.36
6,new norfolk,au,-42.78,147.06,58.82,41,40,19.46
8,butaritari,ki,3.07,172.79,83.82,65,49,1.3
9,lisala,cd,2.15,21.52,70.2,98,42,0.81
12,vila franca do campo,pt,37.72,-25.43,60.8,82,20,5.82
13,port-gentil,ga,-0.72,8.78,77,94,20,2.24
14,thompson,ca,55.74,-97.86,1.4,77,40,4.7
15,port elizabeth,za,-33.92,25.57,66.2,77,75,19.46
17,avarua,ck,-21.21,-159.78,78.8,74,36,11.41
18,vaini,to,-21.2,-175.2,82.4,74,20,9.17
19,jamestown,sh,-15.94,-5.72,68.32,89,13,16.11
20,rikitea,pf,-23.12,-134.97,72.54,80,100,10.49
21,hobart,au,-42.88,147.33,58.84,41,40,19.46
22,nikolskoye,ru,59.7,30.79,38.55,93,90,4.47
23,chokurdakh,ru,70.62,147.9,-4.46,96,100,6.2
24,kahului,us,20.89,-156.47,81.59,55,40,11.41
25,carnarvon,au,-24.87,113.63,71.6,78,75,12.75
26,yellowknife,ca,62.45,-114.38,-2.21,70,75,6.93
27,vao,nc,-22.67,167.48,73.15,77,100,12.68
28,ambilobe,mg,-13.19,49.05,76.12,75,55,8.97
29,beberibe,br,-4.18,-38.13,83.73,74,75,10.29
30,lompoc,us,34.64,-120.46,70.57,72,1,12.75
31,vostok,ru,46.45,135.83,21.42,63,0,5.28
32,mitu,co,1.2,-70.17,73.9,95,93,0.94
33,puerto ayora,ec,-0.74,-90.35,73.85,65,75,11.41
34,kodiak,us,39.95,-94.76,61.79,38,1,6.93
35,tiksi,ru,71.64,128.87,-13.6,98,98,5.03
37,busselton,au,-33.64,115.35,68.25,59,51,9.62
39,vila velha,br,-3.71,-38.6,82.24,74,80,10.29
